img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/6217511ccc.jpg,Vandal Hearts,PS,Role-Playing,Konami,Konami Computer Entertainment Tokyo,7.7,0.45,0.14,0.19,0.09,0.03,1997-03-27,
/games/boxart/full_warhammer-40000-space-marine_765AmericaFront.jpg,"Warhammer 40,000: Space Marine",PS3,Shooter,THQ,Relic Entertainment,7.3,0.45,0.13,,0.24,0.08,2011-09-06,
/games/boxart/full_1187828AmericaFrontccc.jpg,PES 2009: Pro Evolution Soccer,Wii,Sports,Konami,Konami,8.4,0.45,0.09,0.05,0.26,0.05,2009-03-17,
/games/boxart/full_fear-3_734AmericaFront.jpg,F.E.A.R. 3,PS3,Shooter,Warner Bros. Interactive,Day 1 Studios,7.8,0.45,0.21,0.01,0.16,0.07,2011-06-21,
/games/boxart/9674200ccc.jpg,Phantasy Star Online Episode I & II,GC,Role-Playing,Sega,Sonic Team,8.2,0.45,0.23,0.16,0.06,0.01,2002-10-29,
/games/boxart/8784711ccc.jpg,Enter the Matrix,GC,Action,Atari,Shiny Entertainment,6.5,0.45,0.34,0.02,0.09,0.01,2003-05-14,
/games/boxart/4547981ccc.jpg,Bleach: The Blade of Fate,DS,Fighting,Sega,"Treasure Co., Ltd.",8.2,0.45,0.29,0.12,0.01,0.03,2007-10-09,
/games/boxart/full_3223661AmericaFrontccc.jpg,Apocalypse,PS,Action,Activision,Neversoft Entertainment,6.7,0.45,0.25,,0.17,0.03,1998-10-31,
/games/boxart/full_8712300AmericaFrontccc.jpg,Band Hero,DS,Misc,Activision,Vicarious Visions,6.3,0.45,0.22,,0.19,0.05,2009-11-03,
/games/boxart/2430647ccc.jpg,The Powerpuff Girls: Relish Rampage,PS2,Action,BAM! Entertainment,VIS Entertainment,3.8,0.45,0.22,,0.17,0.06,2002-11-24,
/games/boxart/full_7813179AmericaFrontccc.png,L.A. Noire,NS,Adventure,Rockstar Games,Team Bondi,7.9,0.45,0.21,,0.21,0.04,2017-11-14,2018-06-19
/games/boxart/8349399ccc.jpg,Worms: Open Warfare 2,PSP,Strategy,THQ,Team17 Software / Two Tribes,8.1,0.45,0.04,,0.27,0.14,2007-09-04,
/games/boxart/4341658ccc.jpg,Sid Meier's Civilization Revolution,DS,Strategy,2K Games,Firaxis,8.2,0.45,0.37,0.02,0.03,0.03,2008-07-08,
/games/boxart/full_2887847AmericaFrontccc.jpg,Dynasty Warriors: Strikeforce,PSP,Action,Tecmo Koei,Omega Force,6.4,0.45,0.03,0.38,0.02,0.02,2009-04-28,
